TT,Nhóm mẫu,Số hiệu,Họ,Loài,Tác giả,Tên việt,Nơi thu,Ngày thu,Long,Lat,CT,IUCN,SĐVN,KT,TP,LC/MN,Thông tin
63,Cá,E.57167,Labridae,Halichoeres hortulanus,"(Lacepède, 1801)",Cá Bàng Chài vân vuông,Đá Lớn,09.04.2021,09°59'37.5,113°50'54.8,,,,1,,1,"Cá Bàng Chài vân vuông
Checkerboard wrasse

Đặc điểm: 
D. IX, 11; A. III, 11.
Cá Bàng chài vân vuông có chiều dài cơ thể lớn nhất được ghi nhận là 27 cm, con đực có màu xanh lục với các vảy ở giữa màu xanh đậm tạo thành hình ca-rô, đầu màu xanh lá cây với các sọc đứt quãng màu đỏ, vạch sáng rộng phía sau vây ngực, đuôi màu xanh lam và đốm màu vàng ở lưng bên dưới điểm bắt đầu của vây lưng. Con cái có các sọc đen hình chữ nhật dọc trên vảy tạo thành các đường ca rô đen trắng ở mặt trên, các vết hình chữ nhật ở phía dưới cơ thể bị thay bằng các đốm nhỏ, hai đốm màu vàng và đốm đen lớn ở lưng, đầu màu vàng với các đường màu hồng và vây lưng và vây đuôi có màu vàng. Con non có sọc đen trắng, đốm vàng quanh đầu, viền vàng ở vây lưng và đuôi màu vàng.
Sinh thái: thường gặp trên các dải cát của đầm phá san hô, vùng rạn hướng ra khơi, có độ sâu đến 30m, chúng cũng xuất hiện ở các trũng dọc sườn dốc rạn.
Phân bố: 
Thế giới: vùng biển Ấn Độ - Thái Bình Dương: nam Biển Đỏ đến vịnh Sodwana, Nam Phi, phía đông đến quần đảo Line, Marquesas và Tuamoto, phía bắc đến nam Nhật Bản, phía nam đến rạn san hô Great Barrier Reef (Úc). 
Việt Nam: vùng rạn san hô ven bờ và các đảo từ Quảng Ninh đến Kiên Giang, quần đảo Trường Sa."
64,Cá,E.57168,Labridae,Halichoeres margaritaceus,"(Quoy & Gaimard, 1834)",Cá Bàng Chài macga,Đá Lớn,09.04.2021,09°59'37.5,113°50'54.8,,,,1,,1,"Cá Bàng Chài macga
Pink-belly wrasse

Đặc điểm:
D. IX, 11; A. III, 11
Cá Bàng chài macga có chiều dài cơ thể lớn nhất được ghi nhận là 13 cm. Con cái cơ thể có màu xanh nâu đến hơi hồng ở trên và nhạt ở dưới. Chúng có các đốm trắng ở hai bên và một vùng màu hồng ở phía dưới bụng. Có một đốm đen phía sau mắt và một đốm đen khác ở ""góc"" phía trên của nắp mang. Giữa vây lưng có một đốm đen có viền màu vàng hoặc xanh. Con đực có màu xanh lục với các đốm đỏ cam. Chúng thiếu các mảng màu trắng và đỏ của con cái
Sinh thái: 
Phân bố:
Thế giới: Có phạm vi phân bố Ấn Độ Dương-Thái Bình Dương: Đảo Cocos ở phía đông Ấn Độ Dương đến đảo Line và Tuamoto, phía bắc đến phía nam Nhật Bản, phía nam đến New South Wales và đảo Lord Howe,..
Việt Nam:  Loài cá Bàng chài này được ghi nhận tại Lý Sơn (Quảng Ngãi); cù lao Chàm (Quảng Nam); bờ biển Phú Yên; vịnh Nha Trang (Khánh Hòa); bờ biển Ninh Thuận; cù lao Cau (Bình Thuận); đảo Phú Quốc và quần đảo An Thới (Kiên Giang); Côn Đảo; cũng như tại quần đảo Hoàng Sa và quần đảo Trường Sa."
65,Cá,E.57169,Mullidae,Parupeneus multifasciatus,"(Quoy & Gaimard, 1825)",Cá Phèn nhiều sọc,Đá Lớn,09.04.2021,09°59'37.5,113°50'54.8,1,,,1,,1,"Cá Phèn nhiều sọc
Manybar goatfish

Đặc điểm: 
D. VIII, 9; A. I, 7;
Cá phèn nhiều sọc có chiều dài có thể lên đến 35 cm, có râu dài, có màu xám nhạt đến đỏ nâu với các vạch màu đỏ sẫm đến đen và trắng xen kẽ có chiều rộng khác nhau và một vạch sẫm phía sau mắt.
Sinh thái: Sống ở vùng rạn san hô, đến độ sâu 60m. Chúng thường tập hợp thành đàn trên các dải cát, cũng như san hô chết. Thức ăn chủ yếu là cua nhỏ, tôm, tôm tít, cá, giun nhiều tơ…
Phân bố:
Thế giới:  Thái Bình Dương; từ đảo Christmas (đông Ấn Độ Dương) đến các đảo Hawaii, Line, Marquesan và Tuamoto, phía bắc đến nam Nhật Bản, phía nam đến các đảo Lord Howe và Rapa.
Việt Nam: vịnh Bắc Bộ, Trung Bộ đến vùng biển Tây Nam."
66,Cá,E.57170,Scaridae,Chlorurus sordidus,"(Forsskål, 1775)",Cá Mó xám,Đá Lớn,09.04.2021,09°59'37.5,113°50'54.8,,,,1,,1,"Cá Mó xám
Daisy parrotfish

Đặc điểm:
D. IX, 10; A. III, 9
Có chiều dài cơ thể tối đa ghi nhận là 40cm. Thân thuôn dài, hình bầu dục, mõm tròn. Vây đuôi cụt, hơi lõm ở nhiều cá thể đực lớn. Màu sắc ở cá khác nhau ở các giai đoạn và khác nhau giữa cá thể đực và cái: cá con màu nâu sẫm với các sọc ngang màu trắng đến vàng nhạt, con đực có thân màu xanh lục lam sẫm với các vạch màu hồng tím trên vảy. Đầu và cuống đuôi có màu xanh sáng hơn thân. Trên mõm có một dải màu tím nổi bật. Trên môi và dưới cằm có các vệt màu xanh. Hai bên má có thể có màu vàng lục, con cái có màu nâu đỏ (đỏ tươi ở quanh miệng và vùng dưới đầu), có các hàng đốm trắng dọc hai bên thân. Một vùng màu trắng chứa một đốm nâu bên trong thường xuất hiện ở cuống đuôi. Vùng trắng này và các hàng đốm trắng có thể biến mất và nhanh chóng xuất hiện trở lại
Sinh thái: Sống gần các rạn san hô, đầm phá ở độ sâu dưới 50 m; cá con có thể sống trong các thảm cỏ biển, chúng thường sống tập trung thành đàn và kiếm ăn xung quanh rạn san hô. Đây là loài lưỡng tính, cá đực được biến đổi từ cơ thể cá cái.
Phân bố:
Thế giới: có phạm vi trải rộng trên khắp khu vực Ấn Độ Dương - Thái Bình Dương, Biển Đỏ, vịnh Ba Tư, Ấn Độ, Indonesia,..
Việt Nam: Khánh Hòa"
67,Cá,E.57171,Balistidae,Melichthys vidua,"(Richardson, 1845)",Cá Bò vảy góc,Nam Yết,12.04.2021,10°10'43.0,114°20'49.6,1,,,1,,1,"Cá Bò vảy góc
Pinktail triggerfish

Đặc điểm: 
D. III, 31-35; A., 27-31
Chiều dài cơ thể lớn nhất được ghi nhận là 40 cm, cơ thể có màu nâu sẫm, gần như đen hoàn toàn. Phần mõm có màu vàng cam, vây lưng sau và vây hậu môn trắng đục với viền đen, vây ngực màu vàng, vây đuôi trắng ở gốc, ra xa ửng hồng. Cá con có các sọc đen xung quanh mắt, vây lưng sau và vây hậu môn có các sọc ngang màu đen.
Sinh thái: Thường sống trên vùng rạn san hô hướng ra khơi, có hợp phần động vật không xương sống phong phú, độ sâu đến 60m. Thức ăn chủ yếu là tảo và vụn hữu cơ, nhưng chúng cũng có thể ăn cả giáp xác, nhuyễn thể, hải miên và cá nhỏ
Phân bố: 
Thế giới: Ấn Độ-Thái Bình Dương: Đông Phi đến Natal (Nam Phi), phía đông đến quần đảo Hawai, Marquesas và Tuamoto phía bắc đến nam Nhật Bản, phía nam đến Great Barrier Reef  (Úc) và New Caledonia.
Việt Nam: vịnh Bắc Bộ, Trung Bộ đến vùng biển Tây Nam."
69,Cá,E.57173,Balistidae,Rhinecanthus rectangulus,"(Bloch & Schneider, 1801)",Cá Bò da láng,Nam Yết,12.04.2021,10°10'43.0,114°20'49.6,1,,,1,,1,"Cá Bò da láng
Wedge-tail triggerfish

Đặc điểm:
D. III, 22-25; A20-22;
Chiều dài lớn nhất ghi nhận là 30cm. Bụng, ngực và cằm có màu trắng, màu nâu xám ở phần thân còn lại, dải đen từ mắt lan rộng xuống vây hậu môn, băng qua gốc vây ngực, giữa hai mắt có các sọc xanh lam, thân sau có cặp sọc màu vàng tạo thành hình tam giác. Cuống đuôi có vệt đen hình tam giác, viền vàng, môi trên có một vệt sọc xanh. Cuống đuôi có 4 (hiếm khi 5) hàng gai nhỏ
Sinh thái: Loài cá này thường sống ở độ sâu khoảng 10–20 m trên nền đáy đá trộn lẫn san hô, là loài ăn tạp, thức ăn của chúng bao gồm tảo, vụn hữu cơ, các loài nhuyễn thể, giáp xác, cầu gai, san hô, sống đuôi, hải miên, trùng lỗ cũng như những loài cá nhỏ hơn
Phân bố:
Thế giới:  bố rộng khắp khu vực Ấn Độ Dương - Thái Bình Dương
Việt Nam: Ghi nhận tại quần đảo Hoàng Sa và Trường Sa."
70,Cá,E.57174,Labridae,Cheilinus fasciatus,"(Bloch, 1791)",Cá Bàng Chài sọc ngang,Nam Yết,12.04.2021,10°10'43.0,114°20'49.6,,,,1,,1,"Cá Bàng Chài sọc ngang
Redbreasted wrasse

Đặc điểm: 
Loài cá Bàng Chài sọc ngang có D. IX, 10; A. III, 8, chiều dài thân chuẩn cá gấp 2,35 đến 2,6 lần chiều cao thân. Hàm dưới cá trưởng thành có 2 răng nanh lớn, khỏe. Toàn thân cá với hai màu chủ đạo: đỏ cam và đen, với 6 vạch đen trên thân và 1 vạch trên đuôi. Phần thân dưới, vây lưng, vây hậu môn và nửa sau của vây đuôi có những chấm nhỏ màu cam sẫm đến đỏ.
Sinh thái: Thường được thấy ở các rạn san hô hay nền đáy sỏi cát, ở độ sâu 4-60m. Thức ăn của cá Bàng chài sọc ngang là các loài thủy sinh không xương sống có vỏ cứng, bao gồm động vật thân mềm, động vật giáp xác và cầu gai nhờ sở hữu bộ hàm chắc khỏe
Phân bố: 
Thế giới: Ấn Độ Dương - Thái Bình Dương, biển Đỏ, Nhật Bản,..
Việt Nam: Trường Sa (Khánh Hòa), Kiên Giang, Ninh Thuận, Phú Yên"
71,Cá,E.57175,Labridae,Oxycheilinus unifasciatus,"(Streets, 1877)",Cá Bàng Chài vòng đuôi,Nam Yết,12.04.2021,10°10'43.0,114°20'49.6,,,,1,,1,"Cá Bàng Chài vòng đuôi
Ringtail maori wrasse

Đặc điểm:
D. IX, 10; A. III, 8;
Có chiều dài cơ thể tối đa được ghi nhận là 46 cm. Loài này đa dạng màu sắc, thường là màu nâu tía hoặc màu ô liu với một dải trắng bao quanh cuống đuôi. Đầu có các vệt sọc màu đỏ cam bao quanh mắt, và có cặp sọc ngang song song nổi bật ở trên má. Vây bụng và vây lưng trước có đốm lớn.
Sinh thái: sống gần các rạn san hô viền bờ và rạn san hô trong các đầm phá ở độ sâu đến 161 m, thức ăn chủ yếu là giáp xác và cá nhỏ.
Phân bố:
Thế giới: có phạm vi phân bố rộng khắp Tây và Trung Thái Bình Dương, nhưng thưa thớt ở Đông Ấn Độ Dương
Việt Nam: Khánh Hòa, bờ biển Ninh Thuận, đảo đá ngoài khơi Bình Thuận, đảo Lý Sơn (Quảng Ngãi), cũng như tại quần đảo Hoàng Sa."
72,Cá,E.57176,Labridae,Oxycheilinus digramma,"(Lacepède, 1801)",Cá Bàng Chài má vạch,Nam Yết,12.04.2021,10°10'43.0,114°20'49.6,,,,1,,1,"Cá Bàng Chài má vạch
Cheeklined wrasse

Đặc điểm:
D. IX, 10; A. III, 8
Chiều dài cơ thể tối đa được ghi nhận là 40 cm, loài này đa dạng màu sắc, nhưng thường được quan sát phổ biến là kiểu màu nâu xám và xanh ô liu (bên cạnh đó là các kiểu màu đỏ nâu hoặc đỏ phớt hồng). Nửa thân dưới thường có màu đỏ cam, vảy có các vạch màu đỏ cam, đầu có màu xanh lục xám với khoảng 8 vạch sọc màu nâu sẫm ở dưới đầu; nửa đầu trên có các vệt đốm cùng màu, cá con có hai dải trắng dọc theo chiều dài cơ thể
Sinh thái: Chúng sống xung quanh các rạn san hô viền bờ và rạn san hô trong các đầm phá ở độ sâu đến ít nhất là 120m. Thức ăn của chúng là các loài nhuyễn thể có vỏ cứng, giáp xác và da gai, thường sống đơn độc, nhưng lại được quan sát bơi trong đàn của các loài cá phèn.
Phân bố:
Thế giới: phân bố rộng rãi trên khắp Ấn Độ Dương - Thái Bình Dương, băng qua vùng biển các nước Đông Nam Á và trải dài về phía đông đến nhiều đảo quốc thuộc châu Đại Dương .
Việt Nam: ghi nhận tại vịnh Nha Trang (Khánh Hòa), bờ biển Ninh Thuận,  đảo đá ngoài khơi Bình Thuận, quần đảo An Thới (Kiên Giang), đảo Phú Quốc, cũng như tại quần đảo Trường Sa và quần đảo Hoàng Sa"
73,Cá,E.57177,Mullidae,Parupeneus cyclostomus,"(Lacepède, 1801)",Cá Phèn vàng,Nam Yết,12.04.2021,10°10'43.0,114°20'49.6,1,,,1,,1,"Cá Phèn vàng
Gold-saddle goatfish

Đặc điểm:
D. VIII, 9; A. I, 7
Cá phèn vàng có chiều dài có thể lên đến 50 cm dài, có râu dài, cơ thể thường là màu vàng, phần lưng có ánh xanh nhưng có trường hợp cơ thể có màu vàng hoàn toàn, cá con có màu nâu với một đốm vàng trên cuống đuôi và các đường màu xanh trên đầu.
Sinh thái: Cá Phèn vàng sống đơn độc hoặc theo nhóm ở khu vực rạn san hô hoặc nền đáy đá vụn với độ sâu ghi nhận 0-125m, Nó sử dụng râu của mình để thăm dò các lỗ và đẩy con mồi ra ngoài, thức ăn chủ yếu là các loài cá nhỏ, động vật giáp xác, giun, tôm, cua, bạch tuộc và động vật chân bụng nhỏ
Phân bố:
Thế giới: Ấn Độ Dương-Thái Bình Dương, từ Biển Đỏ đến Nam Phi, Hawaii, hải đảo, quần đảo Ryukyu.
Việt Nam: Vùng biển Khánh Hòa, Bình Thuận,.."
74,Cá,E.57178,Labridae,Gomphosus varius,"Lacepède, 1801",Cá Bàng Chài mỏ chim,Nam Yết,14.04.2021,10°10'35.9,114°21'45.5,1,,,1,,1,"Cá Bàng Chài mỏ chim
Bird wrasse

Đặc điểm:
D. VIII, 13-14; A. II-III, 10-13
Cá Bàng chài mỏ chim có chiều dài tối đa là 32cm. Loài cá này có đặc điểm là phần mõm dài và nhọn như mỏ chim nhưng mõm của cá con ngắn hơn rất nhiều. Cá cái có đầu và thân trước màu trắng, lốm đốm những chấm đen trên mỗi vảy, chuyển dần sang màu xám ở thân giữa, sẫm đen ở thân sau và toàn bộ vây đuôi; vùng trên của mõm có màu đỏ, kéo dài thành sọc đen băng qua mắt; vây đuôi hơi bo tròn, có dải viền màu trắng xám ở rìa sau. Cá đực có màu xanh lục lam sẫm với một vệt màu vàng lục ở sau đầu, trên gốc vây ngực; mỗi vảy trên thân có một vạch màu đỏ; vây đuôi cụt, có một dải màu xanh lam sáng hình bán nguyệt ở rìa sau. Cá con có lưng màu xanh lục (hơi nâu) với 2 dải sọc ngang màu đen ở mỗi bên thân (một sọc băng qua mắt, sọc còn lại nằm trên bụng); phần thân còn lại có màu trắng
Sinh thái: Loài cá Bàng chài mỏ chim này sống gần những rạn san hô viền bờ và trong các đầm phá ở độ sâu đến dưới 35m, cá con đôi khi được ghi nhận trong các thảm cỏ biển. Thức ăn của chúng chủ yếu là các loài thủy sinh không xương sống, đặc biệt là những động vật giáp xác, đôi khi chúng ăn cả những con cá nhỏ hơn, loài cá này có thể sống đơn độc hoặc hợp thành những nhóm nhỏ
Phân bố:
Thế giới: Cá Bàng chài mỏ chim phân bố rộng rãi ở Tây và Trung Thái Bình Dương, nhưng ít phổ biến hơn ở Đông Ấn Độ Dương. Loài này được ghi nhận ở hầu hết vùng biển thuộc các nước Đông Nam Á
Việt Nam: Khánh Hòa"
75,Cá,E.57179,Scaridae,Chlorurus sordidus,"(Forsskål, 1775)",Cá Mó xám,Nam Yết,14.04.2021,10°10'35.9,114°21'45.5,1,,,1,,1,"Cá Mó xám
Daisy parrotfish

Đặc điểm:
D. IX, 10; A. III, 9
Có chiều dài cơ thể tối đa ghi nhận là 40cm. Thân thuôn dài, hình bầu dục, mõm tròn. Vây đuôi cụt, hơi lõm ở nhiều cá thể đực lớn. Màu sắc ở cá khác nhau ở các giai đoạn và khác nhau giữa cá thể đực và cái: cá con màu nâu sẫm với các sọc ngang màu trắng đến vàng nhạt, con đực có thân màu xanh lục lam sẫm với các vạch màu hồng tím trên vảy. Đầu và cuống đuôi có màu xanh sáng hơn thân. Trên mõm có một dải màu tím nổi bật. Trên môi và dưới cằm có các vệt màu xanh. Hai bên má có thể có màu vàng lục, con cái có màu nâu đỏ (đỏ tươi ở quanh miệng và vùng dưới đầu), có các hàng đốm trắng dọc hai bên thân. Một vùng màu trắng chứa một đốm nâu bên trong thường xuất hiện ở cuống đuôi. Vùng trắng này và các hàng đốm trắng có thể biến mất và nhanh chóng xuất hiện trở lại
Sinh thái: Sống gần các rạn san hô, đầm phá ở độ sâu dưới 50 m; cá con có thể sống trong các thảm cỏ biển, chúng thường sống tập trung thành đàn và kiếm ăn xung quanh rạn san hô. Đây là loài lưỡng tính, cá đực được biến đổi từ cơ thể cá cái.
Phân bố:
Thế giới: có phạm vi trải rộng trên khắp khu vực Ấn Độ Dương - Thái Bình Dương, Biển Đỏ, vịnh Ba Tư, Ấn Độ, Indonesia,..
Việt Nam: Khánh Hòa"
76,Cá,E.57180,Cirrhitidae,Cirrhitus pinnulatus,"(Forster, 1801)",Cá Ông chấm mắt cao,Nam Yết,16.04.2021,10°11'06.5,114°21'48.5,,,,1,,1,"Cá Ông chấm mắt cao
Stocky hawkfish

Đặc điểm: 
D. X, 11; A. III, 6
Cá Ông chấm mắt cao có chiều dài tối đa là 30cm, đầu có mõm ngắn, cùn và miệng lớn kéo dài đến tận mép sau của mắt và có một gờ xương thấp phía trên. Cơ thể có màu nâu với các đốm trắng và các đốm nâu đỏ không đều trên cơ thể. Đầu có các đường và đốm hình sin màu đỏ cam. Có một đốm đen giống như yên ngựa ở phần lưng của cuống đuôi
Sinh thái: Sống trong rạn san hô và rạn đá ven bờ, có độ sâu 0-23m, thường gặp ở độ sâu 1-3m. Chúng là loài săn mồi với thức ăn chủ yếu là cua và giáp xác nhỏ, cá và sao biển có kích thước nhỏ.
Phân bố: 
Thế giới: vùng biển Ấn Độ - Thái Bình Dương:  Biển Đỏ và Đông Phi đến  quần đảo Marquesas và Mangaréva, phía bắc đến nam Nhật Bản và quần đảo Hawaii, phía nam đến quần đảo Kermadec và Rapa. 
Việt Nam: vùng rạn đá, rạn san hô ven bờ và các đảo từ Quảng Ninh đến Kiên Giang, quần đảo Trường Sa."
77,Cá,E.57181,Holocentridae,Sargocentron caudimaculatum,"(Rüppell, 1838)",Cá Sơn đá chấm đuôi,Nam Yết,16.04.2021,10°11'06.5,114°21'48.5,1,,,1,,1,"Cá Sơn đá chấm đuôi
Silverspot squirrelfish

Đặc điểm:
D. XI, 13-15; A. IV, 8-9;
Chiều dài lớn nhất là 25cm, thân hình bầu dục, dẹp bên, đầu to vừa, mõm ngắn. Thân có màu đỏ tươi, trên xương nắp mang có một sọc trắng nằm ngang, gai vây lưng màu đỏ tươi, các vây trong mờ, có viền đỏ, vây ngực nhỏ, vây đuôi dạng chẻ.
Sinh thái: Thường sống ở các rạn san hô, đầm phá và các rạn xa bờ có độ sâu từ 2-40m, có thể sống đơn độc hoặc theo nhóm, chúng là loài hoạt động về đêm, thức ăn chủ yếu là cua và tôm.
Phân bố:
Thế giới:  phân bố rộng khắp vùng Ấn Độ Dương - Thái Bình Dương, từ Biển Đỏ dọc theo Đông Phi, trải dài về phía đông đến quần đảo Line và Polynésie thuộc Pháp,..
Việt Nam: ghi nhận tại cù lao Chàm, đảo Lý Sơn, ngoài khơi Bình Thuận, vịnh Nha Trang, Côn Đảo, quần đảo Hoàng Sa và quần đảo Trường Sa"
78,Cá,E.57182,Labridae,Cheilinus trilobatus,"Lacepède, 1801",Cá Bàng Chài đuôi ba thùy,Nam Yết,16.04.2021,10°11'06.5,114°21'48.5,,,,1,,1,"Cá Bàng Chài đuôi ba thùy
Tripletail wrasse

Đặc điểm:
D. IX, 10; A. III, 8
Chiều dài lớn nhất được ghi nhận là 45 cm. Chúng có bộ hàm rất chắc, mỗi hàm có hai răng nanh nằm ở phía trước. Loài này có thể nhanh chóng chuyển đổi màu sắc cơ thể tùy thuộc vào môi trường xung quanh, thường bắt gặp với các tông màu nâu xanh lục lốm đốm các vệt đỏ và tím. Vùng đầu có nhiều chấm đỏ, các vạch ngắn cùng màu tập trung quanh mắt. Vảy cá hai bên thân cũng có các vạch dọc màu đỏ nhưng dài hơn. Vây đuôi cá đực trưởng thành đặc biệt có đến ba thùy và được viền đỏ 3 rìa sau, trong khi vây đuôi cá cái được bo tròn. Cá con và cá cái đang lớn có 3–4 đốm đen nổi bật ở hai bên thân, cũng như xuất hiện thêm các dải màu sẫm trên cơ thể. 
Sinh thái: Loài cá này thường sống ven rạn, đầm phá chủ yếu sống ở những nơi có nhiều rạn san hô có độ sâu dưới 30m, những cá thể còn nhỏ có thể tìm thấy trong các thảm tảo hoặc thảm cỏ biển. Thức ăn của cá Bàng chài sọc ngang là các loài thủy sinh không xương sống có vỏ cứng, bao gồm động vật thân mềm, động vật giáp xác,..
Phân bố:
Thế giới: Ấn Độ Dương-Thái Bình Dương: Đông Phi đến các đảo Tuamoto và Austral, phía bắc đến Quần đảo Ryukyu, phía nam đến New Caledonia
Việt Nam: Ở Việt Nam, loài này được ghi nhận tại cù lao Chàm (Quảng Nam), vịnh Vân Phong và vịnh Nha Trang (Khánh Hòa), đảo Phú Quốc, bờ biển Ninh Thuận, đảo Lý Sơn (Quảng Ngãi), quần đảo Nam Du (Kiên Giang), Côn Đảo,cũng như tại quần đảo Hoàng Sa và quần đảo Trường Sa."
79,Cá,E.57183,Labridae,Halichoeres trimaculatus,"(Quoy & Gaimard, 1834)",Cá Bàng Chài ba đốm,Nam Yết,16.04.2021,10°11'06.5,114°21'48.5,1,,,1,,1,"Cá Bàng Chài ba đốm
Threespot wrasse

Đặc điểm:
D. IX, 11; A. III, 10-11
Cá Bàng chài ba đốm có chiều dài tối đa 27cm. Cá đực trưởng thành có màu vàng lục nhạt với các vạch hồng trên mỗi vảy, đầu màu xanh lục với nhiều vệt sọc hồng tím, có một đốm đen ở cuống đuôi, bao quanh bởi một vệt vàng, phía sau nắp mang (trên gốc vây ngực) cũng có môt đốm đen tương tự nhưng nhỏ hơn (có thể tiêu biến ở nhiều cá thể). Cá cái có màu cơ thể nhạt hơn so với cá đực và có màu trắng ở bụng
Sinh thái: Loài cá Bàng chài này thường sống ở các rạn viền bờ hoặc trong các đầm phá với độ sâu dưới 30m, chúng hoạt động vào ban ngày và vùi mình vào cát để nghỉ ngơi vào ban đêm, thức ăn của chúng chủ yếu bao gồm các loài động vật không xương sống (giáp xác, giun nhiều tơ,..), trứng cá và cá nhỏ, chúng là loài lưỡng tính (đa số là cá cái chuyển đổi thành cá đực nhưng một số trường hợp ngược lại).
Phân bố:
Thế giới: Các quần đảo của Úc, vùng biển các nước Đông Nam Á,..
Việt Nam: Quảng Ninh, Hải Phòng, Quảng Nam, Quảng Ngãi, Ninh Thuận, Khánh Hòa,…"
80,Cá,E.57184,Labridae,Hemigymnus melapterus,"(Bloch, 1791)",Cá Bàng Chài trớt,Nam Yết,16.04.2021,10°11'06.5,114°21'48.5,1,,,1,,1,"Cá Bàng Chài trớt
Blackeye thicklip

Đặc điểm: 
D. IX, 10-11; A. III, 11
Cá Bàng chài trớt có chiều dài tối đa là 90cm, tuy nhiên loài thường gặp chỉ có 37cm. Môi dày, có nhiều vệt hồng quanh mắt. Con đực có màu xanh lục với vảy trên thân có rìa màu đen môi và phần dưới của đầu chủ yếu có màu xanh lam nhạt, ngực và bụng màu trắng hồng. Cá cái nhỏ và cá con đang phát triển có hai màu rõ rệt trên thân: đầu và thân trước có màu xanh lục xám thân sau màu đen, cuống đuôi và vây đuôi màu vàng, thường có 1–2 đốm đen nhỏ ở giữa vây (cá con mới lớn có thêm một dải màu trắng rõ rệt chia tách hai vùng màu trên thân), vảy của cá cái có thêm các vạch màu lục sẫm, chuyển sang màu vàng với các đốm màu xanh lam ở cuống đuôi và vây đuôi. Cá cái trưởng thành có màu sắc gần giống với cá đực: thân sau dần chuyển sang màu lục sẫm, vảy có viền đen, đầu có màu xanh lục sáng
Sinh thái: thường gặp trong các đầm phá san hô và các rạn san hô hướng ra khơi. Con non thường ở trong các san hô cành, con trưởng ở vùng có dạng hỗn hợp san hô, san hô chết, cát, cá kích thước lớn sống ở vùng nước sâu hơn.
Phân bố: 
Thế giới: vùng biển Ấn Độ- Thái Bình Dương: từ Biển Đỏ và Đông Phi đến Micronesia, Samoa và Polynesia. 
Việt Nam: vùng rạn san hô ven bờ và các đảo từ Quảng Ninh đến Kiên Giang."
82,Cá,E.57186,Labridae,Oxycheilinus unifasciatus,"(Streets, 1877)",Cá Bàng Chài vòng đuôi,Nam Yết,16.04.2021,10°11'06.5,114°21'48.5,,,,1,,1,"Cá Bàng Chài vòng đuôi
Ringtail maori wrasse

Đặc điểm:
D. IX, 10; A. III, 8;
Có chiều dài cơ thể tối đa được ghi nhận là 46 cm. Loài này đa dạng màu sắc, thường là màu nâu tía hoặc màu ô liu với một dải trắng bao quanh cuống đuôi. Đầu có các vệt sọc màu đỏ cam bao quanh mắt, và có cặp sọc ngang song song nổi bật ở trên má. Vây bụng và vây lưng trước có đốm lớn.
Sinh thái: sống gần các rạn san hô viền bờ và rạn san hô trong các đầm phá ở độ sâu đến 161 m, thức ăn chủ yếu là giáp xác và cá nhỏ.
Phân bố:
Thế giới: có phạm vi phân bố rộng khắp Tây và Trung Thái Bình Dương, nhưng thưa thớt ở Đông Ấn Độ Dương
Việt Nam: Khánh Hòa, bờ biển Ninh Thuận, đảo đá ngoài khơi Bình Thuận, đảo Lý Sơn (Quảng Ngãi), cũng như tại quần đảo Hoàng Sa."
83,Cá,E.57187,Lethrinidae,Gnathodentex aureolineatus,"(Lacepède, 1802)",Cá Hè răng đai,Nam Yết,16.04.2021,10°11'06.5,114°21'48.5,,,,1,1,,"Cá Hè răng đai
Striped large-eye bream

Đặc điểm:
D. X, 10; A. III, 8-10.
Cơ thể có chiều dài tối đa là 30cm (thường thấy nhất là 20cm), cơ thể dẹp bên, mõm nhọn và đuôi chẻ, tính theo tỷ lệ với kích thước cơ thể thì loài cá này có mắt to. Cơ thể có màu xám với các sọc ngang màu vàng nằm ngang ở cả 2 bên thân, phía sát lưng màu của sọc đậm hơn, vây có ánh hồng, với một đường màu vàng giống như râu nằm phía trên môi trên, các chỗ nối liền các vây ngực với cơ thể cũng như viền rìa ngoài nắp mang cũng có màu vàng. Đốm màu vàng kim nằm ở phía sau chỗ kết thúc vây lưng là dấu hiệu xác nhận loài này
Sinh thái: Chúng thường sống đơn độc hoặc bơi trong các bầy cá nhỏ ven các rạn san hô. Chúng hoạt động nhiều về ban đêm để kiếm ăn, thức ăn của nó chủ yếu là các động vật không xương sống tầng đáy, như nhiều loài động vật giáp xác và động vật chân bụng, đôi khi cả cá nhỏ.
Phân bố:
Thế giới: Cá Hè răng đai có phạm vi sinh sống trong vùng biển nhiệt đới và cận nhiệt đới thuộc Ấn Độ Dương và Thái Bình Dương, từ vùng ven biển phía đông châu Phi tới các đảo trên Thái Bình Dương như quần đảo Tuamotu, trừ quần đảo Hawaii
Việt Nam: Khánh Hòa, Ninh Thuận,..."
